她 在 看 书 。,sentence,read,meaning,[sound:hsk1_grammar_sent1.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
妈妈 在 打 电话 。,妈妈在打电话。,māmā zài dǎ diànhuà 。,Mom is calling.,[sound:hsk1_grammar_sent2.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
谁 在 里面 洗澡 ？,谁在里面洗澡？,shúi zài lǐmiàn xǐzǎo ？,Who is taking a bath inside?,[sound:hsk1_grammar_sent3.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
阿姨 正在 打扫 我们 的 房间 。,阿姨正在打扫我们的房间。,āyí zhèngzài dǎsǎo wǒmen de fángjiān 。,The aunt is cleaning our room.,[sound:hsk1_grammar_sent4.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
昨天 晚上 七点，我们 在 吃饭 。,昨天晚上七点，我们在吃饭。,zuótiān wǎnshàng qīdiǎn，wǒmen zài chīfàn 。,"At 7 o'clock last night, we were eating.",[sound:hsk1_grammar_sent5.mp3],:: Subj. + 在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我 现在 在 上班，不方便 离开 。,我现在在上班，不方便离开。,wǒ xiànzài zài shàngbān，bùfāngbiàn líkāi 。,I'm at work now and it's inconvenient to leave.,[sound:hsk1_grammar_sent6.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我们 正在 上课，请 你 等 一会儿 。,我们正在上课，请你等一会儿。,wǒmen zhèngzài shàngkè，qǐng nǐ děng yīhùiér 。,"We are in class, please wait for a while.",[sound:hsk1_grammar_sent7.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
你 正在 开车，不 可以 玩 手机 。,你正在开车，不可以玩手机。,nǐ zhèngzài kāichē，bù kěyǐ wán shǒujī 。,You are driving and cannot play with your mobile phone.,[sound:hsk1_grammar_sent8.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
你 给 我 打 电话 的时候，我 正在 跟 朋友 打 游戏 。,你给我打电话的时候，我正在跟朋友打游戏。,nǐ gěi wǒ dǎ diànhuà deshíhòu，wǒ zhèngzài gēn péngyǒu dǎ yóuxì 。,"When you called me, I was playing games with my friends.",[sound:hsk1_grammar_sent9.mp3],:: Subj. + 正在 + Verb + Obj. ::,"Describing actions, Indicating conditions, Referring to the present","Expressing actions in progress with ""zai""",https://resources.allsetlearning.com/chinese/grammar/ASG846EA
我 没有 问题 。,我没有问题。,wǒ méiyǒu wèntí 。,I have no problem.,[sound:hsk1_grammar_sent10.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
我们 现在 没有 钱 。,我们现在没有钱。,wǒmen xiànzài méiyǒu qián 。,We have no money now.,[sound:hsk1_grammar_sent11.mp3],:: 没 + 有 (+ Obj.) ::,"Negating, Denying and refusing","Negation of ""you"" with ""mei""",https://resources.allsetlearning.com/chinese/grammar/ASGPNV3Q
